Z (cm),U (eV)
1.381727158948686,-0.1178608091575143
1.3842302878598247,-0.11807432511613299
1.3867334167709637,-0.11828784107475167
1.3892365456821028,-0.11850135703337036
1.3917396745932415,-0.11871487299198905
1.3942428035043806,-0.11892838895060774
1.3967459324155194,-0.11914190490922641
1.3992490613266584,-0.1193554208678451
1.4017521902377972,-0.11956893682646377
1.4042553191489362,-0.11978245278508247
1.4067584480600752,-0.11999596874370116
1.409261576971214,-0.12020948470231983
1.411764705882353,-0.12042300066093853
1.4142678347934918,-0.12063651661955721
1.4167709637046308,-0.1208500325781759
1.4192740926157696,-0.12106354853679457
1.4217772215269087,-0.12127706449541327
1.4242803504380477,-0.12149058045403197
1.4267834793491865,-0.12170409641265063
1.4292866082603255,-0.12191761237126933
1.4317897371714643,-0.12213112832988801
1.4342928660826033,-0.1223446442885067
1.436795994993742,-0.12255816024712538
1.4392991239048811,-0.12277167620574407
1.4418022528160201,-0.12298519216436275
1.444305381727159,-0.12319870812298143
1.446808510638298,-0.12341222408160013
1.4493116395494368,-0.1236257400402188
1.4518147684605758,-0.1238392559988375
1.4543178973717146,-0.12405277195745618
1.4568210262828536,-0.12426628791607486
1.4593241551939926,-0.12447980387469355
1.4618272841051314,-0.12469331983331224
1.4643304130162704,-0.12490683579193093
1.4668335419274092,-0.12512035175054959
1.4693366708385482,-0.1253338677091683
1.471839799749687,-0.12554738366778698
1.474342928660826,-0.12576089962640566
1.476846057571965,-0.12597441558502434
1.4793491864831039,-0.12618793154364302
1.481852315394243,-0.12640144750226173
1.4843554443053817,-0.1266149634608804
1.4868585732165207,-0.1268284794194991
1.4893617021276595,-0.12704199537811778
1.4918648310387985,-0.12725551133673646
1.4943679599499375,-0.12746902729535514
1.4968710888610763,-0.12768254325397382
1.4993742177722154,-0.1278960592125925
1.5018773466833542,-0.1281095751712112
1.5043804755944932,-0.1283230911298299
1.5068836045056322,-0.12853660708844858
1.509386733416771,-0.12875012304706726
1.51188986232791,-0.12896363900568594
1.5143929912390488,-0.12917715496430462
1.5168961201501878,-0.1293906709229233
1.5193992490613266,-0.129604186881542
1.5219023779724656,-0.1298177028401607
1.5244055068836047,-0.13003121879877938
1.5269086357947435,-0.13024473475739806
1.5294117647058825,-0.13045825071601674
1.5319148936170213,-0.13067176667463543
1.5344180225281603,-0.1308852826332541
1.536921151439299,-0.1310987985918728
1.539424280350438,-0.13131231455049147
1.5419274092615771,-0.13152583050911018
1.544430538172716,-0.13173934646772886
1.546933667083855,-0.13195286242634754
1.5494367959949937,-0.13216637838496623
1.5519399249061328,-0.1323798943435849
1.5544430538172715,-0.1325934103022036
1.5569461827284106,-0.13280692626082227
1.5594493116395496,-0.13302044221944098
1.5619524405506884,-0.13323395817805964
1.5644555694618274,-0.13344747413667835
1.5669586983729662,-0.13366099009529703
1.5694618272841052,-0.1338745060539157
1.571964956195244,-0.1340880220125344
1.574468085106383,-0.13430153797115307
1.576971214017522,-0.13451505392977178
1.5794743429286608,-0.13472856988839044
1.5819774718397999,-0.13494208584700915
1.5844806007509387,-0.1351556018056278
1.5869837296620777,-0.1353691177642465
